id_cliente,nombre_constructora,region,segmento_rfm,clv_proyectado_usd
CLT-0455,Constructora M454,Norte,En Riesgo,125889.76
CLT-0456,Constructora N455,Sur,En Riesgo,199173.5
CLT-0457,Constructora O456,Norte,En Riesgo,200331.02
CLT-0458,Constructora P457,Sur,Campeones,472320.59
CLT-0459,Constructora Q458,Norte,Campeones,528449.15
CLT-0460,Constructora R459,Norte,Durmientes,74425.95
CLT-0461,Constructora S460,Norte,Campeones,481043.61
CLT-0462,Constructora T461,Metropolitana,En Riesgo,143892.59
CLT-0463,Constructora U462,Metropolitana,En Riesgo,132549.57
CLT-0464,Constructora V463,Sur,En Riesgo,119557.3
CLT-0465,Constructora W464,Metropolitana,En Riesgo,130521.67
CLT-0466,Constructora X465,Centro,En Riesgo,113281.79
CLT-0467,Constructora Y466,Centro,Durmientes,50511.25
CLT-0468,Constructora Z467,Metropolitana,En Riesgo,126900.8
CLT-0469,Constructora A468,Centro,En Riesgo,157013.58
CLT-0470,Constructora B469,Metropolitana,En Riesgo,103323.13
CLT-0471,Constructora C470,Norte,En Riesgo,159926.41
CLT-0472,Constructora D471,Metropolitana,Durmientes,62502.93
CLT-0473,Constructora E472,Norte,Durmientes,20093.97
CLT-0474,Constructora F473,Metropolitana,En Riesgo,161221.7
CLT-0475,Constructora G474,Sur,Campeones,561383.45
CLT-0476,Constructora H475,Metropolitana,En Riesgo,113710.77
CLT-0477,Constructora I476,Norte,En Riesgo,200177.17
CLT-0478,Constructora J477,Sur,Campeones,520950.95
CLT-0479,Constructora K478,Metropolitana,En Riesgo,128849.64
CLT-0480,Constructora L479,Sur,En Riesgo,148326.93
CLT-0481,Constructora M480,Metropolitana,En Riesgo,166749.81
CLT-0482,Constructora N481,Metropolitana,Durmientes,51140.08
CLT-0483,Constructora O482,Sur,Campeones,526937.8
CLT-0484,Constructora P483,Metropolitana,Campeones,453966.32
CLT-0485,Constructora Q484,Sur,Durmientes,52540.41
CLT-0486,Constructora R485,Metropolitana,En Riesgo,107588.57
CLT-0487,Constructora S486,Norte,En Riesgo,146663.22
CLT-0488,Constructora T487,Centro,En Riesgo,122882.77
CLT-0489,Constructora U488,Metropolitana,En Riesgo,127934.1
CLT-0490,Constructora V489,Metropolitana,Durmientes,68541.4
CLT-0491,Constructora W490,Sur,Durmientes,66369.65
CLT-0492,Constructora X491,Metropolitana,En Riesgo,168274.14
CLT-0493,Constructora Y492,Centro,En Riesgo,117230.62
CLT-0494,Constructora Z493,Norte,En Riesgo,140507.75
CLT-0495,Constructora A494,Sur,En Riesgo,186392.93
CLT-0496,Constructora B495,Centro,Campeones,507085.85
CLT-0497,Constructora C496,Sur,Durmientes,84789.94
CLT-0498,Constructora D497,Norte,Campeones,519665.89
CLT-0499,Constructora E498,Metropolitana,Durmientes,52880.74
CLT-0500,Constructora F499,Metropolitana,En Riesgo,140726.51
